Plate_number	Well	Sample_name	Replicate	Sample_type	Treatment	Blanking_group	Dilution_factor	Standard_conc
4	A2	Blank	NA	Blank	NO2	Water	1	NA
4	B1	Std 1	NA	Standard	NO2	Water	1	7.8125
4	B2	Std 1	NA	Standard	NO2	Water	1	7.8125
4	C1	Std 2	NA	Standard	NO2	Water	1	15.625
4	C2	Std 2	NA	Standard	NO2	Water	1	15.625
4	D1	Std 3	NA	Standard	NO2	Water	1	31.25
4	D2	Std 3	NA	Standard	NO2	Water	1	31.25
4	E1	Std 4	NA	Standard	NO2	Water	1	62.5
4	E2	Std 4	NA	Standard	NO2	Water	1	62.5
4	F1	Std 5	NA	Standard	NO2	Water	1	125
4	F2	Std 5	NA	Standard	NO2	Water	1	125
4	G1	Std 6	NA	Standard	NO2	Water	1	250
4	G2	Std 6	NA	Standard	NO2	Water	1	250
4	H1	Std 7	NA	Standard	NO2	Water	1	500
4	H2	Std 7	NA	Standard	NO2	Water	1	500
4	A3	P14	1	Unknown	NO2	Water	1	NA
4	A4	P14	1	Unknown	NO2	Water	1	NA
4	B3	P14	2	Unknown	NO2	Water	1	NA
4	B4	P14	2	Unknown	NO2	Water	1	NA
4	C3	P14	3	Unknown	NO2	Water	1	NA
4	C4	P14	3	Unknown	NO2	Water	1	NA
4	D3	P15	1	Unknown	NO2	Water	1	NA
4	D4	P15	1	Unknown	NO2	Water	1	NA
4	E3	P15	2	Unknown	NO2	Water	1	NA
4	E4	P15	2	Unknown	NO2	Water	1	NA
4	F3	P15	3	Unknown	NO2	Water	1	NA
4	F4	P15	3	Unknown	NO2	Water	1	NA
4	G3	P16	1	Unknown	NO2	Water	1	NA
4	G4	P16	1	Unknown	NO2	Water	1	NA
4	H3	P16	2	Unknown	NO2	Water	1	NA
4	H4	P16	2	Unknown	NO2	Water	1	NA
4	A5	P16	3	Unknown	NO2	Water	1	NA
4	A6	P16	3	Unknown	NO2	Water	1	NA
4	B5	P17	1	Unknown	NO2	Water	1	NA
4	B6	P17	1	Unknown	NO2	Water	1	NA
4	C5	P17	2	Unknown	NO2	Water	1	NA
4	C6	P17	2	Unknown	NO2	Water	1	NA
4	D5	P17	3	Unknown	NO2	Water	1	NA
4	D6	P17	3	Unknown	NO2	Water	1	NA
4	E5	P18	1	Unknown	NO2	Water	1	NA
4	E6	P18	1	Unknown	NO2	Water	1	NA
4	F5	P18	2	Unknown	NO2	Water	1	NA
4	F6	P18	2	Unknown	NO2	Water	1	NA
4	G5	P18	3	Unknown	NO2	Water	1	NA
4	G6	P18	3	Unknown	NO2	Water	1	NA
4	H5	P19	1	Unknown	NO2	Water	1	NA
4	H6	P19	1	Unknown	NO2	Water	1	NA
4	A7	P19	2	Unknown	NO2	Water	1	NA
4	A8	P19	2	Unknown	NO2	Water	1	NA
4	B7	P19	3	Unknown	NO2	Water	1	NA
4	B8	P19	3	Unknown	NO2	Water	1	NA
4	C7	P20	1	Unknown	NO2	Water	1	NA
4	C8	P20	1	Unknown	NO2	Water	1	NA
4	D7	P20	2	Unknown	NO2	Water	1	NA
4	D8	P20	2	Unknown	NO2	Water	1	NA
4	E7	P20	3	Unknown	NO2	Water	1	NA
4	E8	P20	3	Unknown	NO2	Water	1	NA
4	F7	P21	1	Unknown	NO2	Water	1	NA
4	F8	P21	1	Unknown	NO2	Water	1	NA
4	G7	P21	2	Unknown	NO2	Water	1	NA
4	G8	P21	2	Unknown	NO2	Water	1	NA
4	H7	P21	3	Unknown	NO2	Water	1	NA
4	H8	P21	3	Unknown	NO2	Water	1	NA
4	A9	P22	1	Unknown	NO2	Water	1	NA
4	A10	P22	1	Unknown	NO2	Water	1	NA
4	B9	P22	2	Unknown	NO2	Water	1	NA
4	B10	P22	2	Unknown	NO2	Water	1	NA
4	C9	P22	3	Unknown	NO2	Water	1	NA
4	C10	P22	3	Unknown	NO2	Water	1	NA
4	D9	P23	1	Unknown	NO2	Water	1	NA
4	D10	P23	1	Unknown	NO2	Water	1	NA
4	E9	P23	2	Unknown	NO2	Water	1	NA
4	E10	P23	2	Unknown	NO2	Water	1	NA
4	F9	P23	3	Unknown	NO2	Water	1	NA
4	F10	P23	3	Unknown	NO2	Water	1	NA
4	G9	P24	1	Unknown	NO2	Water	1	NA
4	G10	P24	1	Unknown	NO2	Water	1	NA
4	H9	P24	2	Unknown	NO2	Water	1	NA
4	H10	P24	2	Unknown	NO2	Water	1	NA
4	A11	P24	3	Unknown	NO2	Water	1	NA
4	A12	P24	3	Unknown	NO2	Water	1	NA
4	B11	P25	1	Unknown	NO2	Water	1	NA
4	B12	P25	1	Unknown	NO2	Water	1	NA
4	C11	P25	2	Unknown	NO2	Water	1	NA
4	C12	P25	2	Unknown	NO2	Water	1	NA
4	D11	P25	3	Unknown	NO2	Water	1	NA
4	D12	P25	3	Unknown	NO2	Water	1	NA
4	E11							NA
4	E12							NA
4	F11							NA
4	F12							NA
4	G11							NA
4	G12							NA
4	H11							NA
4	H12							NA
